ac_number,constituency,votes_winner,votes_runnerup,margin
137,Kulithalai,68138,67559,579
138,Manapparai,83041,81615,1426
139,Srirangam,103235,69645,33590
140,Tiruchirappalli (West),88235,83449,4786
141,Tiruchirappalli (East),91381,63965,27416
142,Thiruverumbur,89837,81132,8705
143,Lalgudi,60795,58056,2739
144,Manachanallur,81447,69083,12364
145,Musiri,71281,53839,17442
146,Thuraiyur,66263,56649,9614
147,Perambalur,90882,76489,14393
148,Kunnam,87237,71680,15557
149,Ariyalur,95219,70721,24498
150,Jayankondam,88992,70502,18490
151,Tittakudi,63106,60477,2629
152,Vriddhachalam,69351,66964,2387
153,Neyveli,63731,52769,10962
154,Panruti,78398,67735,10663
155,Cuddalore,70856,55337,15519
156,Kurinjipadi,76695,69106,7589
157,Bhuvanagiri,75707,73220,2487
158,Chidambaram,69739,63992,5747
159,Kattumannarkoil,85179,52116,33063
160,Sirkazhi,71449,60032,11417
161,Mayiladuthurai,68011,57166,10845
162,Poompuhar,81096,72836,8260
163,Nagapattinam,56305,46524,9781
164,Kilvelur,56108,53830,2278
165,Vedaranyam,59172,51841,7331
166,Thiruthuraipoondi,74062,61140,12922
167,Mannargudi,68416,66850,1566
168,Thiruvarur,93408,75260,18148
169,Nannilam,103462,61738,41724
170,Thiruvidaimarudur,79951,65835,14116
171,Kumbakonam,78650,77971,679
172,Papanasam,69284,68219,1065
173,Thiruvaiyaru,80425,71870,8555
174,Thanjavur,87705,70750,16955
175,Orathanadu,86759,51731,35028
176,Pattukkottai,65963,52209,13754
177,Peravurani,60919,57757,3162
178,Gandharvakottai,58795,47756,11039
179,Viralimalai,105773,43700,62073
180,Pudukkottai,66825,64958,1867
181,Thirumayam,58201,56709,1492
182,Alangudi,64929,51952,12977
183,Aranthangi,73244,63182,10062
184,Karaikudi,101358,55284,46074
185,Tiruppattur,83375,83374,1
186,Sivaganga,73737,58656,15081
187,Manamadurai,69971,68763,1208
188,Melur,60080,57356,2724
189,Madurai East,118777,102230,16547
190,Sholavandan,63907,61229,2678
191,Madurai North,72853,54815,18038
192,Madurai South,62415,40886,21529
193,Madurai Central,63414,44286,19128
194,Madurai West,88250,76319,11931
195,Thiruparankundram,114316,72763,41553
196,Thirumangalam,88291,64484,23807
197,Usilampatti,65743,63938,1805
198,Andipatti,74324,64770,9554
199,Periyakulam,85656,66335,19321
200,Bodinayakanur,85206,78401,6805
201,Cumbum,85394,84643,751
202,Rajapalayam,65548,54943,10605
203,Srivilliputhur,65653,57072,8581
204,Sattur,62060,56071,5989
205,Sivakasi,68709,57039,11670
206,Virudhunagar,63653,54262,9391
207,Aruppukkottai,65104,60161,4943
208,Tiruchuli,75085,61600,13485
209,Paramakudi,59161,55613,3548
210,Tiruvadanai,69551,67038,2513
211,Ramanathapuram,89137,76678,12459
212,Mudhukulathur,68003,51405,16598
213,Vilathikulam,58395,50167,8228
214,Thoothukkudi,100536,62805,37731
215,Tiruchendur,72723,66851,5872
216,Srivaikuntam,58814,57628,1186
217,Ottapidaram,81625,52542,29083
218,Kovilpatti,61643,60800,843
219,Sankarankovil,64865,58376,6489
220,Vasudevanallur,63045,56462,6583
221,Kadayanallur,79832,73579,6253
222,Tenkasi,79699,69400,10299
223,Alangulam,69170,61372,7798
224,Tirunelveli,75840,64426,11414
225,Ambasamudram,65589,55344,10245
226,Palayamkottai,79744,65939,13805
227,Nanguneri,74952,58533,16419
228,Radhapuram,69947,57634,12313
229,Kanniyakumari,75045,74831,214
230,Nagercoil,69880,62310,7570
231,Colachal,66207,63374,2833
232,Padmanabhapuram,68938,53369,15569
233,Vilavancode,70755,49785,20970
234,Killiyoor,66434,65123,1311
